species,decimalLatitude,decimalLongitude,year,basisOfRecord,habitat,samplingProtocol,locality,occurrenceStatus,iucnRedListCategory,presencia
,3.6760590812898344,-72.745330722556,,1,1,1,111,1,2,0
,4.601185241350714,-73.88077490420314,,1,1,1,111,1,2,0
,3.9113483031816627,-73.2396742525324,,1,1,1,111,1,2,0
,3.817776427315538,-73.07555437422029,,1,1,1,111,1,2,0
,3.4582965878903926,-71.65549268230913,,1,1,1,111,1,2,0
,4.616201284083214,-73.21689311117936,,1,1,1,111,1,2,0
,3.734417485947836,-72.48705680237063,,1,1,1,111,1,2,0
,4.662539564682506,-71.93905533248042,,1,1,1,111,1,2,0
,3.935976778758863,-73.14446776574924,,1,1,1,111,1,2,0
,3.9336736097642664,-72.16210180609816,,1,1,1,111,1,2,0
,3.9104736847554626,-72.88027368196369,,1,1,1,111,1,2,0
,4.542049108375203,-72.60770958221492,,1,1,1,111,1,2,0
,3.78699077269546,-72.86681043714464,,1,1,1,111,1,2,0
,4.529082229678993,-71.40349171369203,,1,1,1,111,1,2,0
,3.7640665758692786,-72.04796988533846,,1,1,1,111,1,2,0
,3.526326188354045,-73.03103336895762,,1,1,1,111,1,2,0
,3.4712791681081647,-71.955417452691,,1,1,1,111,1,2,0
,4.028179829367487,-73.86942688168806,,1,1,1,111,1,2,0
,3.960103711183077,-73.44861880076618,,1,1,1,111,1,2,0
,4.091191252221217,-73.17362884711109,,1,1,1,111,1,2,0
,4.520169358561102,-73.33467456234449,,1,1,1,111,1,2,0
,3.3052695861693198,-73.24510857489558,,1,1,1,111,1,2,0
